General Achievement Test (GAT),2018-06-13T10:00:00+10:00,2018-06-13T13:15:00+10:00
Extended Investigation: Critical Thinking Test (computer-based),2018-08-01T10:00:00+10:00,2018-08-01T11:10:00+10:00
Classical Greek,2018-10-23T13:55:00+11:00,2018-10-23T17:00:00+11:00
Armenian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Bosnian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Chin Hakha,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Croatian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Dutch,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Filipino,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hebrew,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hindi,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Hungarian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Karen,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Khmer,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Macedonian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Maltese,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Persian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Polish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Portuguese,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Punjabi,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Romanian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Russian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Serbian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Sinhala,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Swedish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Tamil,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Turkish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Ukrainian,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Yiddish,2018-10-23T14:00:00+11:00,2018-10-23T16:40:00+11:00
Arabic,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Korean First Language,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Korean Second Language,2018-10-23T14:00:00+11:00,2018-10-23T16:15:00+11:00
Classical Hebrew,2018-10-24T09:25:00+11:00,2018-10-24T12:30:00+11:00
Auslan Sign Comprehension and Sign Production Examination,2018-10-24T08:00:00+11:00,2018-10-24T18:00:00+11:00
English,2018-10-31T09:00:00+11:00,2018-10-31T12:15:00+11:00
English as an Additional Language (EAL),2018-10-31T09:00:00+11:00,2018-10-31T12:15:00+11:00
Psychology,2018-11-01T09:00:00+11:00,2018-11-01T11:45:00+11:00
Economics,2018-11-01T14:00:00+11:00,2018-11-01T16:15:00+11:00
Biology,2018-11-02T09:00:00+11:00,2018-11-02T11:45:00+11:00
Further Mathematics Examination 1,2018-11-02T14:00:00+11:00,2018-11-02T15:45:00+11:00
Further Mathematics Examination 2,2018-11-05T09:00:00+11:00,2018-11-05T10:45:00+11:00
Latin,2018-11-05T11:45:00+11:00,2018-11-05T14:00:00+11:00
Business Management,2018-11-05T15:00:00+11:00,2018-11-05T17:15:00+11:00
Indigenous Languages of Victoria,2018-11-05T15:00:00+11:00,2018-11-05T17:15:00+11:00
Mathematical Methods Examination 1,2018-11-07T09:00:00+11:00,2018-11-07T10:15:00+11:00
Dance,2018-11-07T11:45:00+11:00,2018-11-07T13:30:00+11:00
Food Studies,2018-11-07T11:45:00+11:00,2018-11-07T13:30:00+11:00
VET Business,2018-11-07T11:45:00+11:00,2018-11-07T13:30:00+11:00
History: Revolutions,2018-11-07T15:00:00+11:00,2018-11-07T17:15:00+11:00
Product Design and Technology,2018-11-08T09:00:00+11:00,2018-11-08T10:45:00+11:00
Theatre Studies,2018-11-08T09:00:00+11:00,2018-11-08T10:45:00+11:00
VET Hospitality,2018-11-08T09:00:00+11:00,2018-11-08T10:45:00+11:00
Health and Human Development,2018-11-08T11:45:00+11:00,2018-11-08T14:00:00+11:00
Mathematical Methods Examination 2,2018-11-08T15:00:00+11:00,2018-11-08T17:15:00+11:00
Specialist Mathematics Examination 1,2018-11-09T09:00:00+11:00,2018-11-09T10:15:00+11:00
Physical Education,2018-11-09T11:45:00+11:00,2018-11-09T14:00:00+11:00
Accounting,2018-11-09T15:00:00+11:00,2018-11-09T17:15:00+11:00
History: Ancient History,2018-11-09T15:00:00+11:00,2018-11-09T17:15:00+11:00
Music Style and Composition,2018-11-09T15:00:00+11:00,2018-11-09T17:15:00+11:00
Sociology,2018-11-09T15:00:00+11:00,2018-11-09T17:15:00+11:00
VET Creative and Digital Media (computer-based) ,2018-11-09T15:00:00+11:00,2018-11-09T17:15:00+11:00
Studio Arts,2018-11-12T09:00:00+11:00,2018-11-12T10:45:00+11:00
"VET Information, Digital Media and Technology",2018-11-12T09:00:00+11:00,2018-11-12T10:45:00+11:00
"Chinese Language, Culture and Society",2018-11-12T11:45:00+11:00,2018-11-12T14:00:00+11:00
Industry and Enterprise,2018-11-12T11:45:00+11:00,2018-11-12T14:00:00+11:00
Literature,2018-11-12T11:45:00+11:00,2018-11-12T14:00:00+11:00
Outdoor and Environmental Studies,2018-11-12T11:45:00+11:00,2018-11-12T14:00:00+11:00
Specialist Mathematics Examination 2,2018-11-12T15:00:00+11:00,2018-11-12T17:15:00+11:00
Chemistry,2018-11-13T09:00:00+11:00,2018-11-13T11:45:00+11:00
Visual Communication Design,2018-11-13T14:00:00+11:00,2018-11-13T15:45:00+11:00
Physics,2018-11-14T09:00:00+11:00,2018-11-14T11:45:00+11:00
Legal Studies,2018-11-14T14:00:00+11:00,2018-11-14T16:15:00+11:00
Agricultural and Horticultural Studies,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
Music Performance,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
VET Furnishing,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
VET Health,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
VET Hospitality: Kitchen Operations,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
VET Integrated Technologies,2018-11-15T09:00:00+11:00,2018-11-15T10:45:00+11:00
Australian Politics,2018-11-15T11:45:00+11:00,2018-11-15T14:00:00+11:00
Geography,2018-11-15T11:45:00+11:00,2018-11-15T14:00:00+11:00
Philosophy,2018-11-15T11:45:00+11:00,2018-11-15T14:00:00+11:00
Computing: Software Development,2018-11-15T15:00:00+11:00,2018-11-15T17:15:00+11:00
Japanese First Language,2018-11-15T15:00:00+11:00,2018-11-15T17:15:00+11:00
Texts and Traditions,2018-11-15T15:00:00+11:00,2018-11-15T17:15:00+11:00
Art,2018-11-16T09:00:00+11:00,2018-11-16T10:45:00+11:00
VET Equine Studies,2018-11-16T09:00:00+11:00,2018-11-16T10:45:00+11:00
VET Music Industry: Sound Production,2018-11-16T09:00:00+11:00,2018-11-16T10:45:00+11:00
VET Sport and Recreation,2018-11-16T09:00:00+11:00,2018-11-16T10:45:00+11:00
English Language,2018-11-16T11:45:00+11:00,2018-11-16T14:00:00+11:00
History: Australian History,2018-11-16T11:45:00+11:00,2018-11-16T14:00:00+11:00
Classical Studies,2018-11-16T15:00:00+11:00,2018-11-16T17:15:00+11:00
Computing: Informatics,2018-11-16T15:00:00+11:00,2018-11-16T17:15:00+11:00
Environmental Science,2018-11-16T15:00:00+11:00,2018-11-16T17:15:00+11:00
Systems Engineering,2018-11-19T09:00:00+11:00,2018-11-19T10:45:00+11:00
Chinese First Language,2018-11-19T11:45:00+11:00,2018-11-19T14:00:00+11:00
Global Politics,2018-11-19T11:45:00+11:00,2018-11-19T14:00:00+11:00
Greek,2018-11-19T11:45:00+11:00,2018-11-19T14:00:00+11:00
Religion and Society,2018-11-19T11:45:00+11:00,2018-11-19T14:00:00+11:00
Media,2018-11-19T15:00:00+11:00,2018-11-19T17:15:00+11:00
Drama,2018-11-20T09:00:00+11:00,2018-11-20T10:45:00+11:00
VET Community Services,2018-11-20T09:00:00+11:00,2018-11-20T10:45:00+11:00
VET Engineering Studies,2018-11-20T09:00:00+11:00,2018-11-20T10:45:00+11:00
German,2018-11-20T11:45:00+11:00,2018-11-20T14:00:00+11:00
Spanish,2018-11-20T11:45:00+11:00,2018-11-20T14:00:00+11:00
Vietnamese First Language,2018-11-20T11:45:00+11:00,2018-11-20T14:00:00+11:00
Vietnamese Second Language,2018-11-20T11:45:00+11:00,2018-11-20T14:00:00+11:00
Algorithmics,2018-11-20T15:00:00+11:00,2018-11-20T17:15:00+11:00
French,2018-11-20T15:00:00+11:00,2018-11-20T17:15:00+11:00
VET Laboratory Skills,2018-11-21T09:00:00+11:00,2018-11-21T10:45:00+11:00
Indonesian First Language,2018-11-21T11:45:00+11:00,2018-11-21T14:00:00+11:00
Indonesian Second Language,2018-11-21T11:45:00+11:00,2018-11-21T14:00:00+11:00
Japanese Second Language,2018-11-21T11:45:00+11:00,2018-11-21T14:00:00+11:00
Chinese Second Language,2018-11-21T15:00:00+11:00,2018-11-21T17:15:00+11:00
Chinese Second Language Advanced,2018-11-21T15:00:00+11:00,2018-11-21T17:15:00+11:00
Italian,2018-11-21T15:00:00+11:00,2018-11-21T17:15:00+11:00
